"","Element","Year","Value","pct"
"1","Emissions (CO2eq) from CH4 (AR5)",1990,4771124.991,0.726548529828135
"2","Emissions (CO2eq) from CH4 (AR5)",1991,4798489.7354,0.728553803360419
"3","Emissions (CO2eq) from CH4 (AR5)",1992,4812483.2825,0.72860962184884
"4","Emissions (CO2eq) from CH4 (AR5)",1993,4776921.9951,0.728033826477869
"5","Emissions (CO2eq) from CH4 (AR5)",1994,4815242.9892,0.726217694696438
"6","Emissions (CO2eq) from CH4 (AR5)",1995,4862581.4488,0.722256928058921
"7","Emissions (CO2eq) from CH4 (AR5)",1996,4843929.3898,0.719800482868722
"8","Emissions (CO2eq) from CH4 (AR5)",1997,5081505.2201,0.727179900976795
"9","Emissions (CO2eq) from CH4 (AR5)",1998,4935623.5155,0.714443310205987
"10","Emissions (CO2eq) from CH4 (AR5)",1999,4901233.813,0.708264947350473
"11","Emissions (CO2eq) from CH4 (AR5)",2000,4845202.981,0.70421603968558
"12","Emissions (CO2eq) from CH4 (AR5)",2001,4834512.7384,0.696780080765927
"13","Emissions (CO2eq) from CH4 (AR5)",2002,4984199.3026,0.695257486696822
"14","Emissions (CO2eq) from CH4 (AR5)",2003,4923651.7316,0.687472652875903
"15","Emissions (CO2eq) from CH4 (AR5)",2004,5087576.6203,0.685716373632926
"16","Emissions (CO2eq) from CH4 (AR5)",2005,5067521.523,0.680642117822737
"17","Emissions (CO2eq) from CH4 (AR5)",2006,5210143.2181,0.6815261825951
"18","Emissions (CO2eq) from CH4 (AR5)",2007,5113561.6234,0.669920446685303
"19","Emissions (CO2eq) from CH4 (AR5)",2008,5133535.936,0.672055874555101
"20","Emissions (CO2eq) from CH4 (AR5)",2009,5240123.2307,0.676136351226697
"21","Emissions (CO2eq) from CH4 (AR5)",2010,5195727.6192,0.668520479985125
"22","Emissions (CO2eq) from CH4 (AR5)",2011,5292133.8965,0.668002447499597
"23","Emissions (CO2eq) from CH4 (AR5)",2012,5325153.6942,0.66882738827401
"24","Emissions (CO2eq) from CH4 (AR5)",2013,5273662.7007,0.669064368082351
"25","Emissions (CO2eq) from CH4 (AR5)",2014,5385515.2248,0.671067290756031
"26","Emissions (CO2eq) from CH4 (AR5)",2015,5427125.3685,0.671718885924615
"27","Emissions (CO2eq) from CH4 (AR5)",2016,5329479.1518,0.666737952172894
"28","Emissions (CO2eq) from CH4 (AR5)",2017,5360360.7533,0.663635782653447
"29","Emissions (CO2eq) from CH4 (AR5)",2018,5413418.4805,0.667674581665361
"30","Emissions (CO2eq) from CH4 (AR5)",2019,5487663.6422,0.668732536920315
"31","Emissions (CO2eq) from CH4 (AR5)",2020,5425685.2588,0.662980520645303
"32","Emissions (CO2eq) from F-gases (AR5)",1990,227.541,3.4650020558563e-05
"33","Emissions (CO2eq) from F-gases (AR5)",1991,1008.3495,0.000153097516896186
"34","Emissions (CO2eq) from F-gases (AR5)",1992,4400.6845,0.00066626331588115
"35","Emissions (CO2eq) from F-gases (AR5)",1993,11525.627,0.00175658014427991
"36","Emissions (CO2eq) from F-gases (AR5)",1994,23530.7525,0.00354882378175925
"37","Emissions (CO2eq) from F-gases (AR5)",1995,40067.996,0.00595144534012461
"38","Emissions (CO2eq) from F-gases (AR5)",1996,61675.04,0.00916481641256557
"39","Emissions (CO2eq) from F-gases (AR5)",1997,87240.1545,0.0124843494521219
"40","Emissions (CO2eq) from F-gases (AR5)",1998,116870.876,0.0169173388638527
"41","Emissions (CO2eq) from F-gases (AR5)",1999,149451.3185,0.0215968334234744
"42","Emissions (CO2eq) from F-gases (AR5)",2000,185073.4335,0.0268991166936588
"43","Emissions (CO2eq) from F-gases (AR5)",2001,219871.6215,0.0316892672492178
"44","Emissions (CO2eq) from F-gases (AR5)",2002,253123.7775,0.0353088210730362
"45","Emissions (CO2eq) from F-gases (AR5)",2003,287857.028,0.0401924923767557
"46","Emissions (CO2eq) from F-gases (AR5)",2004,322222.4725,0.0434299553276715
"47","Emissions (CO2eq) from F-gases (AR5)",2005,359889.859,0.0483384618498218
"48","Emissions (CO2eq) from F-gases (AR5)",2006,391852.0965,0.0512572212106907
"49","Emissions (CO2eq) from F-gases (AR5)",2007,423270.937,0.0554521243835934
"50","Emissions (CO2eq) from F-gases (AR5)",2008,428041.5055,0.0560369717697608
"51","Emissions (CO2eq) from F-gases (AR5)",2009,429758.9725,0.0554520668274948
"52","Emissions (CO2eq) from F-gases (AR5)",2010,430031.71,0.0553310385470686
"53","Emissions (CO2eq) from F-gases (AR5)",2011,429366.75,0.0541970489568749
"54","Emissions (CO2eq) from F-gases (AR5)",2012,428134.496,0.0537727346915022
"55","Emissions (CO2eq) from F-gases (AR5)",2013,426915.749,0.0541623786047551
"56","Emissions (CO2eq) from F-gases (AR5)",2014,426915.749,0.0531962464321417
"57","Emissions (CO2eq) from F-gases (AR5)",2015,426916.788,0.0528397723926423
"58","Emissions (CO2eq) from F-gases (AR5)",2016,424729.1735,0.0531352222799919
"59","Emissions (CO2eq) from F-gases (AR5)",2017,431242.145,0.0533896376720616
"60","Emissions (CO2eq) from F-gases (AR5)",2018,437754.597,0.0539913214684758
"61","Emissions (CO2eq) from F-gases (AR5)",2019,444262.893,0.0541383493716361
"62","Emissions (CO2eq) from F-gases (AR5)",2020,441881.1923,0.0539947691324828
"63","Emissions (CO2eq) from N2O (AR5)",1990,1795483.3986,0.273416820151307
"64","Emissions (CO2eq) from N2O (AR5)",1991,1786823.6298,0.271293099122685
"65","Emissions (CO2eq) from N2O (AR5)",1992,1788138.9948,0.270724114835279
"66","Emissions (CO2eq) from N2O (AR5)",1993,1772953.54,0.270209593377851
"67","Emissions (CO2eq) from N2O (AR5)",1994,1791804.1475,0.270233481521802
"68","Emissions (CO2eq) from N2O (AR5)",1995,1829832.1139,0.271791626600954
"69","Emissions (CO2eq) from N2O (AR5)",1996,1823940.083,0.271034700718712
"70","Emissions (CO2eq) from N2O (AR5)",1997,1819216.2196,0.260335749571083
"71","Emissions (CO2eq) from N2O (AR5)",1998,1855854.3116,0.268639350930161
"72","Emissions (CO2eq) from N2O (AR5)",1999,1869371.8773,0.270138219226053
"73","Emissions (CO2eq) from N2O (AR5)",2000,1850002.8009,0.268884843620761
"74","Emissions (CO2eq) from N2O (AR5)",2001,1883978.0759,0.271530651984855
"75","Emissions (CO2eq) from N2O (AR5)",2002,1931530.7589,0.269433692230142
"76","Emissions (CO2eq) from N2O (AR5)",2003,1950451.3722,0.272334854747341
"77","Emissions (CO2eq) from N2O (AR5)",2004,2009560.8874,0.270853671039403
"78","Emissions (CO2eq) from N2O (AR5)",2005,2017795.7104,0.271019420327441
"79","Emissions (CO2eq) from N2O (AR5)",2006,2042822.0837,0.26721659619421
"80","Emissions (CO2eq) from N2O (AR5)",2007,2096255.2916,0.274627428931104
"81","Emissions (CO2eq) from N2O (AR5)",2008,2076977.8191,0.271907153675138
"82","Emissions (CO2eq) from N2O (AR5)",2009,2080216.1626,0.268411581945808
"83","Emissions (CO2eq) from N2O (AR5)",2010,2146220.4003,0.276148481467807
"84","Emissions (CO2eq) from N2O (AR5)",2011,2200826.4592,0.277800503543528
"85","Emissions (CO2eq) from N2O (AR5)",2012,2208637.0951,0.277399877034488
"86","Emissions (CO2eq) from N2O (AR5)",2013,2181567.0542,0.276773253312894
"87","Emissions (CO2eq) from N2O (AR5)",2014,2212867.3815,0.275736462811828
"88","Emissions (CO2eq) from N2O (AR5)",2015,2225417.0968,0.275441341682742
"89","Emissions (CO2eq) from N2O (AR5)",2016,2239155.6859,0.280126825547114
"90","Emissions (CO2eq) from N2O (AR5)",2017,2285660.1026,0.282974579674492
"91","Emissions (CO2eq) from N2O (AR5)",2018,2256696.5781,0.278334096866164
"92","Emissions (CO2eq) from N2O (AR5)",2019,2274139.9252,0.277129113708049
"93","Emissions (CO2eq) from N2O (AR5)",2020,2316211.337,0.283024710222215
